id,date,state,county,addr,death,injured,link
2292999,"May 2, 2022",New York,Rochester,Lake Ave,0,1,https://twitter.com/RPLCinfosharing/status/1521333995925131271
2292997,"May 2, 2022",Louisiana,New Orleans,I-10 and Carrollton Exit,0,1,https://www.wdsu.com/article/nopd-investigating-shooting-on-i-10/39884226#
2292995,"May 2, 2022",California,Union City,2500 Medallion Dr,0,1,https://sanfrancisco.cbslocal.com/2022/05/02/union-city-apartment-shooting-2500-medallion-drive/
2292936,"May 2, 2022",New York,Bronx,3414 Irwin Ave,1,0,https://nypost.com/2022/05/02/man-shot-and-killed-in-bronx-apartment-after-answering-knock-at-door/
2292983,"May 2, 2022",California,Santa Rosa,Sunset Ave and McMinn Ave,0,1,https://sanfrancisco.cbslocal.com/2022/05/02/santa-rosa-shooting-leaves-1-victim-critical-condition/
2292966,"May 2, 2022",Tennessee,Dyersburg,Lipford Cir,1,1,https://wreg.com/news/local/one-dead-one-injured-in-dyersburg-shooting/
2292926,"May 2, 2022",Illinois,Chicago,7100 block of S Honore,0,1,https://home.chicagopolice.org/media_incident/7100-block-of-s-honore-on-may-2-2022-approx-826-p-m-7th-dist/
2292881,"May 2, 2022",Minnesota,Minneapolis,2700 block of Pillsbury Ave S,0,1,https://www.facebook.com/groups/MinneapolisScanner/posts/2078543205660394/
2292701,"May 2, 2022",Kentucky,Louisville,4400 block of Plantus Place,1,0,https://www.wave3.com/2022/05/02/man-critical-condition-after-shooting-newburg/
2292828,"May 2, 2022",Virginia,Petersburg,Grant Ave,1,0,https://www.nbc12.com/2022/05/02/vsp-man-shot-killed-while-eviction-notice-was-served/
2292799,"May 2, 2022",North Carolina,Charlotte,1430 Alleghany St,0,0,https://www.wbtv.com/2022/05/02/loaded-gun-found-cms-school-west-charlotte-officials-say/
2292825,"May 2, 2022",North Dakota,Bismarck,2500 E Broadway Ave,1,0,https://kfgo.com/2022/05/02/569916/
2292821,"May 2, 2022",Virginia,Newport News,600 block of 36th St,0,1,https://www.wtkr.com/news/man-seriously-injured-following-newport-news-shooting-on-36th-street
2292253,"May 2, 2022",Virginia,Portsmouth,2200 block of Richmond Ave,1,0,https://www.wtkr.com/news/man-found-with-fatal-gunshot-wound-police-investigate
2292743,"May 2, 2022",Pennsylvania,Newtown (Upper Makefield),100 block of Timber Ridge Rd,2,0,https://philadelphia.cbslocal.com/2022/05/02/trinh-nguyen-wanted-bucks-county-attempted-homicide-domestic-violence-police/
2292748,"May 2, 2022",Texas,Katy,Guston Hall Ln and Gorki Park Dr,0,1,https://www.houstonchronicle.com/news/houston-texas/crime/article/HCSO-4-year-old-shot-in-west-Harris-County-in-17142627.php
2292738,"May 2, 2022",Texas,Houston,3800 block of Mt Pleasant St,0,1,https://www.click2houston.com/news/local/2022/05/02/man-in-custody-after-shooting-aunt-in-leg-during-domestic-dispute-on-houstons-south-side-police-say/
2292475,"May 2, 2022",Pennsylvania,Hanover,6800 block of Cannery Rd,0,1,https://www.fox43.com/article/news/local/shooting-crash-investigation-chanceford-township-york-county/521-2e60c7d1-bdeb-466b-ba12-34d52193b561
2292300,"May 2, 2022",Kentucky,Flatwoods,100 block of East St,0,1,https://www.dailyindependent.com/news/police-officer-shot-in-flatwoods-suspect-at-large-russell-schools-closed-with-video/article_845c1996-c9fd-11ec-af82-a7f46b09f6d7.html
2292687,"May 2, 2022",Illinois,Waukegan,2000 block of North Ave,1,0,https://www.dailyherald.com/news/20220502/police-off-duty-waukegan-officer-shot-killed-husband-at-home
2292676,"May 2, 2022",Illinois,Chicago,500 block of N Pulaski Ave,0,1,https://home.chicagopolice.org/media_incident/500-block-of-n-pulaski-on-may-2-2022-at-approximately-1112-a-m-11th-district/
2292627,"May 2, 2022",Oklahoma,Tulsa,N Yale Ave and E Pine St,0,1,https://www.newson6.com/story/626fd8b66f9bd8070c1b8cd4/tulsa-police-investigate-shooting-at-mobile-home-park-
2292609,"May 2, 2022",South Carolina,North Charleston,3825 Ladson Rd,1,0,https://www.live5news.com/2022/05/02/police-investigating-deadly-ladson-road-shooting/
2292557,"May 2, 2022",Wisconsin,Milwaukee,N 33rd St and W Center St,1,0,https://www.tmj4.com/news/local-news/homicide-at-33rd-and-center-unidentified-male-victim
2292567,"May 2, 2022",Arizona,Phoenix,5030 W McDowell Rd,0,1,https://www.azfamily.com/2022/05/02/wounded-man-found-car-outside-west-phoenix-nightclub/
2292406,"May 2, 2022",Arizona,Phoenix,40th St and St Charles Ave,0,1,https://www.azfamily.com/2022/05/02/teen-wounded-drive-by-shooting-phoenix-home/
2292537,"May 2, 2022",Maryland,Baltimore,125 N Hilton St,0,0,https://baltimore.cbslocal.com/2022/05/02/baltimore-school-green-street-academy-loaded-gun-found/
2292473,"May 2, 2022",Colorado,Pueblo,Lincoln St and W Orman Ave,1,0,https://www.kktv.com/2022/05/02/2-found-shot-pickup-pueblo/
2292448,"May 2, 2022",Oklahoma,Tulsa,E 77th St and S Sheridan Rd,1,0,https://www.facebook.com/tulsapolice/posts/355578746605090
2292443,"May 2, 2022",Florida,Panama City,8901 Front Beach Rd,0,1,https://www.wjhg.com/2022/05/02/man-hospitalized-with-serious-injuries-after-panama-city-beach-shooting/
2292437,"May 2, 2022",Wisconsin,Milwaukee (Wauwatosa),N/A,0,1,https://twitter.com/USFiR2015/status/1520997796811317254
2292429,"May 2, 2022",Florida,Miami Gardens,600 block of NW 177th St,0,1,https://www.nbcmiami.com/news/local/man-hospitalized-after-shooting-at-miami-gardens-apartment-complex/2750370/
2292419,"May 2, 2022",Maryland,Greenbelt,10 block of Plateau Pl,0,1,https://www.nbcwashington.com/news/local/prince-georges-county/officer-shot-man-in-greenbelt-police/3040417/
2292378,"May 2, 2022",Michigan,Detroit,8031 Gratiot Ave,0,1,https://www.facebook.com/TheDetroitScanner/posts/5491281837562493
2292367,"May 2, 2022",Michigan,Flint,1900 block of Miller Rd,0,1,https://www.detroitnews.com/story/news/local/michigan/2022/05/02/man-22-critical-condition-after-shooting-flint-home-where-large-party-held/9614865002/?fbclid=IwAR3XSgcdKptukCwgZr6_gUn8BllpPbsA3ESiDr6LkTaI8DRhjVrYbE27_pI
2292358,"May 2, 2022",Illinois,Chicago,N/A,0,1,https://home.chicagopolice.org/media_incident/1700-block-of-w-harrison-on-may-2-2022-approx-1230-a-m-12th-dist/
2292327,"May 2, 2022",Ohio,Cleveland,Alonzo Ave and E 156th St,0,2,https://www.cleveland19.com/2022/05/02/2-shot-overnight-clevelands-lee-miles-neighborhood/
2292319,"May 2, 2022",Illinois,Chicago,7400 block of N Paulina St,0,1,https://wgntv.com/news/chicagocrime/32-year-old-woman-seriously-wounded-in-rogers-park-shooting/
2292736,"May 2, 2022",Tennessee,Nashville,West End Ave and 31st Ave S,0,1,https://www.wkrn.com/news/local-news/nashville/investigation-underway-following-shooting-in-west-end/
2293008,"May 2, 2022",New York,Rochester,Lake Ave,0,1,https://twitter.com/RPLCinfosharing/status/1521333995925131271
2292263,"May 1, 2022",Virginia,Richmond,200 block of Engleside Dr,0,2,https://www.wric.com/news/crime/one-adult-one-juvenile-hospitalized-after-henrico-shooting/
2292278,"May 1, 2022",West Virginia,Huntington,2200 block of Madison Ave,0,1,https://www.herald-dispatch.com/news/police-roundup-huntington-woman-injured-in-drive-by-shooting-sunday/article_ea2322c9-2f56-51c7-9efc-21e872f91377.html
