id,date,state,county,addr,death,injured,link
2284472,"April 21, 2022",Louisiana,Baton Rouge,9999 Gwendale Ave,1,0,https://www.theadvocate.com/baton_rouge/news/crime_police/article_6154fd1a-c16e-11ec-9391-cbea1d3a8fa0.html
2284455,"April 21, 2022",Nevada,North Las Vegas,150 W Deer Springs Way,0,0,https://www.reviewjournal.com/local/three-arrested-after-confronting-legacy-high-student-one-batters-school-police-2564677/
2284459,"April 21, 2022",Louisiana,New Orleans,300 N Miro St,0,1,https://nopdnews.com/getattachment/4c47fb8c-6836-4a49-b1c2-42ac6502f08c/April-20-through-April-21-2022/
2284437,"April 21, 2022",Indiana,Indianapolis,9300 block of Meadowlark Dr,0,1,https://fox59.com/news/shooting-on-northeast-side-leaves-1-person-critically-injured/
2284450,"April 21, 2022",California,Los Angeles,11541 Croesus Ave,0,1,https://twitter.com/DowntownLAScan/status/1517264083887689728
2284444,"April 21, 2022",Indiana,Anderson,W 14th St and Nelle St,0,1,https://fox59.com/news/man-in-critical-condition-after-shooting-in-anderson/
2284441,"April 21, 2022",California,Los Angeles,117th St and Main St,0,2,https://twitter.com/DowntownLAScan/status/1517263736058224640
2284420,"April 21, 2022",Louisiana,New Orleans,2600 block of Monroe St,0,1,https://www.wwltv.com/article/news/crime/woman-hospitalized-with-multiple-wounds-after-holly-grove-shooting-thursday/289-a0f15945-9010-478a-aa5c-549ec40d23bc
2284422,"April 21, 2022",Illinois,Chicago,5900 block of W Fulton St,0,1,https://home.chicagopolice.org/media_incident/5900-block-of-west-fulton-on-21-april-2022-at-approx-433pm-015th-district/
2284415,"April 21, 2022",California,Sacramento,1100 block of T St,2,0,https://www.kcra.com/article/2-die-in-shooting-in-downtown-sacramento-police-say/39790678
2284152,"April 21, 2022",Kentucky,Louisville,1300 block of S Floyd St,1,0,https://www.wave3.com/2022/04/21/lmpd-woman-killed-old-louisville-shooting-man-charged-with-murder/
2284408,"April 21, 2022",Texas,San Antonio,900 S Trinity St,0,1,https://news4sanantonio.com/news/local/love-triangle-causes-shooting-between-two-men-over-woman-local-san-antoni-texas-crime-gun-violence-west-side
2284399,"April 21, 2022",Virginia,Norfolk,400 block of Monticello Ave,0,1,https://www.13newsnow.com/article/news/crime/monticello-avenue-shooting-macarthur-center-norfolk-virginia/291-d741e717-0fed-4a2c-a3be-e2acafc4253c
2284392,"April 21, 2022",Virginia,Henrico,7053 Messer Rd,0,0,https://www.nbc12.com/2022/04/22/police-student-found-with-gun-henrico-school/
2284308,"April 21, 2022",Virginia,Richmond,200 block of Engleside Cir,0,1,https://www.nbc12.com/2022/04/22/man-shot-leg-henrico/
2284039,"April 21, 2022",Georgia,Atlanta,445 Cleveland Ave,0,2,https://www.11alive.com/article/news/crime/cleveland-avenue-shooting-atlanta/85-3831f7c8-8031-4edc-96e9-963e34c15968
2284384,"April 21, 2022",New York,Laurel,2925 Peconic Bay Blvd,0,1,https://twitter.com/N_EastFireAlert/status/1517315780668493826
2284377,"April 21, 2022",Georgia,Marietta,125 Ernest W Barrett Pkwy NW,1,0,https://www.ajc.com/news/crime/2-charged-with-murder-in-shooting-outside-barrett-parkway-restaurant-in-cobb/SN6QGXKMEND4LB4GKXAVXKCWUA/
2284369,"April 21, 2022",Michigan,Detroit,500 block of Watson St,1,0,https://www.facebook.com/TheDetroitScanner/posts/5463051433718867
2284349,"April 21, 2022",Michigan,Benton Harbor,1321 Monroe St,0,1,https://www.heraldpalladium.com/communities/benton_harbor/wisconsin-man-shot-in-benton-township/article_8ffc3177-7708-50e3-9f8f-ac5ad7a9d4d7.html
2284339,"April 21, 2022",Kentucky,Louisville,Catalpa St,0,1,https://www.wave3.com/2022/04/21/man-shot-parkland-lmpd-investigating/
2284329,"April 21, 2022",New Jersey,Camden,S 10th Stand Thurman St,1,2,https://www.rlsmedia.com/article/update-man-killed-two-injured-camden-triple-shooting
2284310,"April 21, 2022",Texas,Hitchcock,9125 Hwy 6 N,0,2,https://nextdoor.com/agency-post/tx/harris-county/harris-county-sheriffs-office/shooting-at-9125-n-sh-6-nw-harris-county-224038585/
2284247,"April 21, 2022",Tennessee,Memphis,700 block of Decatur St,0,1,https://wreg.com/news/local/man-injured-in-shooting-in-north-memphis/
2284267,"April 21, 2022",Virginia,Newport News,300 block of Royal Springs Ct,1,0,https://www.wavy.com/news/local-news/newport-news/man-dies-following-shooting-in-newport-news/
2283817,"April 21, 2022",Minnesota,Minneapolis,1400 block of Park Ave,0,1,https://minnesota.cbslocal.com/2022/04/21/investigation-underway-after-overnight-shooting-in-downtown-minneapolis-leaves-man-injured/
2284271,"April 21, 2022",Virginia,Portsmouth,1000 7th St,0,1,https://www.wavy.com/news/local-news/portsmouth/juvenile-male-shot-in-area-of-madison-st-in-portsmouth/
2284294,"April 21, 2022",Texas,Spring,2500 block of Joyful Forest Dr,0,1,https://www.click2houston.com/news/local/2022/04/21/homeowner-shoots-man-after-he-reportedly-refused-to-leave-her-property-in-spring-deputies-say/
2284283,"April 21, 2022",Texas,Crosby,600 block of Franta St,0,1,https://www.click2houston.com/news/local/2022/04/21/man-hospitalized-after-possibly-being-shot-by-family-member-in-east-harris-county-sheriff-says/
