id,date,state,county,addr,death,injured,link
2250923,"March 10, 2022",Georgia,Atlanta,3311 Renault Rd,0,2,https://www.atlantapd.org/Home/Components/News/News/2314/71
2251146,"March 10, 2022",Georgia,Alpharetta,Tidwell Cir and Strickland Rd,2,1,https://www.cbs46.com/2022/03/10/forsyth-officials-looking-shooter-that-killed-2-men-injured-minor/
2251131,"March 10, 2022",Illinois,Chicago,7400 block of S Bennett Ave,0,1,https://home.chicagopolice.org/media_incident/7400-block-of-s-bennett-on-march-10-2022-at-approximately-1218-p-m-3rd-district/
2251105,"March 10, 2022",West Virginia,Saint Albans,3rd St W,1,0,https://www.wowktv.com/news/breaking-news/fatal-overnight-shooting-in-st-albans/
2251102,"March 10, 2022",New York,Bronx,E 227th St and White Plains Rd,1,0,https://www.nydailynews.com/new-york/nyc-crime/ny-fatal-bronx-shooting-20220310-mkbc43qv7jfdpp3b44xknhk34u-story.html
2251090,"March 10, 2022",Michigan,Detroit,La Salle Blvd and W Grand Blvd,0,1,https://www.facebook.com/TheDetroitScanner/posts/5349822525041759
2251058,"March 10, 2022",New York,Bronx,E Mosholu Pkwy S and Webster Ave,0,1,https://twitter.com/NYC_Alerts911/status/1502038210230247433
2251054,"March 10, 2022",New York,Brooklyn,E 87th St and Avenue L,0,1,https://twitter.com/NYC_Alerts911/status/1502055092446445571
2251052,"March 10, 2022",New York,Brooklyn,1092 Willmohr St,0,1,https://twitter.com/NYC_Alerts911/status/1502076279109079040
2251028,"March 10, 2022",Texas,Dallas,100 block of W Laureland Rd,1,0,https://12ft.io/proxy?q=https://www.dallasnews.com/news/crime/2022/03/10/man-fatally-shot-thursday-morning-in-red-bird-police-say
2250999,"March 10, 2022",Florida,Orlando,5000 Millenia Blvd,1,0,https://www.clickorlando.com/news/local/2022/03/10/man-found-shot-to-death-near-millenia-boulevard-in-orlando/
2251001,"March 10, 2022",Michigan,Warren,21500 Mound Rd,0,1,https://www.facebook.com/permalink.php?story_fbid=5274758189269357&id=785899121488642
2250943,"March 10, 2022",Kansas,Wichita,400 block of S Walnut St,0,1,https://www.wibw.com/2022/03/10/homeowner-shoots-suspect-during-car-break-in-south-downtown-wichita/
2250965,"March 10, 2022",Missouri,Saint Louis,1800 block of Murphy Park Dr,0,1,https://www.kmov.com/2022/03/10/26-year-old-shot-stomach-st-louis-city/
2250895,"March 10, 2022",Colorado,Commerce City,Kearney St and E 62nd Ave,0,1,https://www.thedenverchannel.com/news/local-news/woman-shot-in-suspected-road-rage-incident-in-commerce-city
2250837,"March 10, 2022",Indiana,Kokomo,2900 block of Heritage Dr,0,1,https://fox59.com/indiana-news/kokomo-pd-man-shot-in-the-chest-overnight/
2250882,"March 10, 2022",Indiana,Indianapolis,1700 block of N Ritter Ave,1,0,https://www.indystar.com/story/news/crime/2022/03/10/indianapolis-crime-man-found-shot-east-side-apartments-indiana-shooting/9451122002/
2250855,"March 10, 2022",Maryland,Baltimore,1900 block of McCulloh St,0,1,https://www.facebook.com/BaltimoreCityPolice/posts/326823282806592
2250820,"March 10, 2022",Ohio,Youngstown,1600 block of Mahoning Ave,0,1,https://www.wkbn.com/news/local-news/police-investigating-youngstown-shooting/
2250764,"March 10, 2022",Illinois,Chicago,7300 block of S Phillips Ave,1,0,https://chicago.suntimes.com/crime/2022/3/10/22970569/man-found-shot-to-death-in-south-shore
2251296,"March 10, 2022",Mississippi,Jackson,4200 block of Chennault Ave,0,1,https://www.wapt.com/article/man-shot-in-chest-in-jackson/39394701
