id,date,state,county,addr,death,injured,link
2297316,"May 8, 2022",Wisconsin,Milwaukee,4600 block of N 40th St,0,3,https://atlasone.app/a/alerts/d6bbc662-635c-49e7-932a-dae692552749
2297311,"May 8, 2022",Alabama,Birmingham,25th St and 7th Ave S,0,1,https://www.wvtm13.com/article/birmingham-police-investigate-a-shooting-involving-an-officer/39937574#
2297308,"May 8, 2022",Virginia,Gainesville,14701 Deming Dr,1,0,https://www.insidenova.com/headlines/montclair-man-killed-in-gainesville-shooting/article_e0a3986a-cef7-11ec-87e7-47df4e32d0a0.html
2297301,"May 8, 2022",Virginia,Henrico,9000 block of Lydell Dr,0,1,https://www.wric.com/news/local-news/henrico-county/one-person-shot-near-reynolds-community-college-parham-road-campus/
2297296,"May 8, 2022",New York,Syracuse,Martin Luther King W and Alexander Ave,0,1,https://www.localsyr.com/news/local-news/syracuse-police-investigate-two-early-morning-shootings-no-suspect-information/
2297294,"May 8, 2022",Connecticut,Waterbury,Willow St,1,0,https://www.fox61.com/article/news/local/new-haven-county/waterbury/waterbury-police-investigating-homicide-sunday/520-f3f71bdd-0cc3-4ae9-ab45-3b9788758db5
2297292,"May 8, 2022",New York,Syracuse,300 block of Coolidge Ave,0,1,https://www.localsyr.com/news/local-news/syracuse-police-investigate-two-early-morning-shootings-no-suspect-information/
2297286,"May 8, 2022",Virginia,Hopewell,200 block of S 15th Ave,0,2,https://www.progress-index.com/story/news/2022/05/08/hopewell-couple-shot-early-sunday-morning-expected-recover/9699231002/
2297284,"May 8, 2022",Virginia,Newport News,1100 block of 73rd St,1,0,https://www.wavy.com/news/local-news/newport-news/police-man-dead-following-apparent-domestic-related-shooting-in-newport-news/
2297281,"May 8, 2022",Pennsylvania,Pittsburgh,S 12th St and Bedford Square,0,2,https://www.wpxi.com/news/local/allegheny-county/2-people-shot-pittsburghs-south-side-neighborhood-suspect-allegedly-fired-car-fled/3FOYABABHZBB7L2N5ER7BPEA7Q/
2296949,"May 8, 2022",California,Fresno,N Angus St and E Garland Ave,0,1,https://www.fresnobee.com/news/local/crime/article261226567.html
2297278,"May 8, 2022",Illinois,Chicago,3700 block of N Oketo Ave,0,1,https://home.chicagopolice.org/media_incident/3700-block-of-n-oketo-on-may-8-2022-at-approx-620-p-m-16th-district/
2297275,"May 8, 2022",Illinois,Chicago,1100 block of N Harding Ave,0,1,https://home.chicagopolice.org/media_incident/1100-block-of-n-harding-on-may-8-2022-at-approx-555-p-m-11th-district/
2297261,"May 8, 2022",Georgia,Clarkston,6500 block of Old Hampton Dr,3,3,https://www.fox5atlanta.com/news/old-hampton-drive-apartment-shooting-dekalb-county
2297257,"May 8, 2022",Tennessee,Madison,1830 Spring Branch Dr,1,0,https://www.wsmv.com/2022/05/08/man-found-dead-parking-lot-madison-apartment-complex/
2297251,"May 8, 2022",Pennsylvania,Philadelphia,Kensington Ave and Clearfield St,0,2,https://6abc.com/philadelphia-shooting-homicide-kensington-west-girard-avenue/11829723/
2296841,"May 8, 2022",New York,Rochester,Pierpont Street and Bryan Street,0,1,https://13wham.com/news/local/man-fatally-shot-on-mothers-day-in-rochester
2296838,"May 8, 2022",New York,Rochester,N Plymouth Ave and Smith St,1,0,https://13wham.com/news/local/man-fatally-shot-on-mothers-day-in-rochester
2297244,"May 8, 2022",Pennsylvania,Philadelphia,900 block of W Girard Ave,1,0,https://6abc.com/philadelphia-shooting-homicide-kensington-west-girard-avenue/11829723/
2297240,"May 8, 2022",Pennsylvania,Philadelphia,900 block of E. Schiller St,1,2,https://6abc.com/philadelphia-shooting-homicide-kensington-west-girard-avenue/11829723/
2297229,"May 8, 2022",Missouri,Columbia,800 block of Grand Ave,1,0,https://www.columbiamissourian.com/news/local/arrest-warrant-was-issued-for-columbia-man-in-connection-to-sunday-homicide/article_14ab2646-cf20-11ec-9394-c7529c71ae6d.html
2297217,"May 8, 2022",Pennsylvania,Philadelphia,Cottman Ave and Rising Sun Ave,1,0,https://6abc.com/northeast-philadelphia-shooting-woman-shot-and-killed-in-rising-sun-avenue-oxford/11828407/
2297221,"May 8, 2022",Missouri,Saint Louis,St Louis Ave and N Kingshighway Blvd,0,1,https://www.kmov.com/2022/05/08/child-shot-north-city-sunday-afternoon/
2297215,"May 8, 2022",Illinois,Rockford,700 block of S 4th St,0,1,https://www.mystateline.com/news/local-news/18-year-old-shot-in-rockford/
2297138,"May 8, 2022",North Carolina,Winston Salem (Winston-salem),2500 block of Green Oaks Ct,0,1,https://www.wxii12.com/article/wspd-man-shot-twice-outside-apartment-on-green-oaks-court/39936672
2297211,"May 8, 2022",Missouri,Saint Louis,7400 block of S Broadway Ave,0,2,https://fox2now.com/news/police-suspect-shoots-woman-then-shoots-himself-in-south-st-louis/
