id,date,state,county,addr,death,injured,link
2267983,"April 1, 2022",Texas,San Antonio,5627 Culebra Rd,0,2,https://www.ksat.com/news/local/2022/04/01/police-searching-for-gunman-who-shot-2-teens-at-apartment-complex-playground/
2267682,"March 31, 2022",New York,Ontario,Knickerbocker Rd,0,1,https://www.rochesterfirst.com/news/local-news/large-police-presence-on-knickerbocker-rd-in-wayne-county/
2267566,"March 31, 2022",New York,Rochester,Dewey Ave and Alameda St,0,1,https://www.whec.com/rochester-new-york-news/rochester-man-hurt-but-expected-to-survive-after-dewey-avenue-shooting/6434477/?cat=12713
2267649,"March 31, 2022",California,Visalia,Cambridge Ave,1,0,https://abc30.com/shooting-visalia-bicyclist-shot-drive-by/11697156/
2267660,"March 31, 2022",New York,Syracuse,200 N State St,0,1,https://www.localsyr.com/news/local-news/man-shot-in-midsection-at-syracuse-gas-station-thursday-police-say/
2267658,"March 31, 2022",California,Victorville,16400 block of Forrest Ave,1,0,https://www.vvng.com/man-shot-and-killed-on-forrest-avenue-in-victorville/
2267655,"March 31, 2022",Virginia,Richmond,2500 block of Alfalfa Ln,1,0,https://richmond.com/news/local/crime-and-courts/update-police-identify-chesterfield-woman-fatally-shot-in-apartment-complex-dinwiddie-man-in-custody/article_6065ef24-be4b-586f-94ad-d40c16d9fa49.html
2267248,"March 31, 2022",Massachusetts,Boston,100 block of Morton St,0,1,https://www.universalhub.com/crime/20220331/shootout-near-shattuck-hospital-police-say-man
2267641,"March 31, 2022",New Jersey,Newark,147 Alexander St,0,1,https://www.rlsmedia.com/article/woman-found-shot-multiple-times-newark-0
2267635,"March 31, 2022",Georgia,Valdosta,2379 Copeland Rd,0,0,https://www.walb.com/2022/03/31/student-found-with-unloaded-gun-lowndes-middle/
2267628,"March 31, 2022",Connecticut,Bridgeport,Louisiana Ave,0,1,https://www.ctpost.com/news/article/Bridgeport-Police-Man-shot-in-leg-on-Louisiana-17049642.php
2267460,"March 31, 2022",Michigan,Byron Center,3915 108th St SW,1,0,https://www.wzzm13.com/article/news/local/kent-co-homeowner-armed-suspect/69-87809a54-8a72-44e3-bb66-d5b368070abf
2267582,"March 31, 2022",Tennessee,Chattanooga,2303 E 23rd St,0,1,https://www.local3news.com/local-news/police-investigating-shooting-near-dollar-general-in-east-chattanooga/article_1123a7ec-b13d-11ec-b1c5-6ba56cb3f1b1.html
2267574,"March 31, 2022",Georgia,Atlanta,2284 Cheshire Bridge Rd NE,0,1,https://www.atlantapd.org/Home/Components/News/News/2422/631
2267469,"March 31, 2022",Illinois,Chicago,3100 block of N Broadway,0,1,https://abc7chicago.com/chicago-shooting-lakeview-police-in/11697232/
2267556,"March 31, 2022",Illinois,Chicago,50 block of E Garfield Blvd,0,1,https://home.chicagopolice.org/media_incident/0-100-block-of-e-garfield-on-march-31-2022-at-approx-210-p-m-2nd-district/
2266969,"March 31, 2022",Pennsylvania,Philadelphia,6701 Callowhill St,0,0,https://philadelphia.cbslocal.com/2022/03/31/8-year-old-gun-shooting-west-philadelphia-achievement-charter-elementary-school/
2267531,"March 31, 2022",Illinois,Chicago,6100 block of S Martin Luther King Dr,0,1,https://www.fox32chicago.com/news/man-shot-in-the-head-critically-wounded-in-shooting-on-chicagos-south-side
2267514,"March 31, 2022",Texas,Houston,4000 block of Corder St,0,1,https://twitter.com/houstonpolice/status/1509698773353734150
2267511,"March 31, 2022",Texas,Houston,7300 block of Iwo Jima Rd,0,1,https://twitter.com/houstonpolice/status/1509698484693352454
2267509,"March 31, 2022",Minnesota,Minneapolis (Brooklyn Park),7601 Jolly Ln,0,1,https://www.tip411.com/alerts/82050
2267467,"March 31, 2022",Michigan,Brooklyn,100 block of Hawthorne Dr,1,0,https://www.mlive.com/news/jackson/2022/03/jackson-county-police-officer-placed-on-leave-after-fatal-shooting.html
