id,date,state,county,addr,death,injured,link
2288433,"April 26, 2022",Louisiana,New Orleans,400 block of Burgundy St,1,0,https://www.klfy.com/top-stories-news/nopd-child-shot-and-killed-in-french-quarter/
2288535,"April 26, 2022",Missouri,Poplar Bluff,1327 MO-53,0,1,https://www.darnews.com/story/2946333.html
2288533,"April 26, 2022",Missouri,Kansas City,US-71 and E 63rd St,0,1,https://www.kctv5.com/2022/04/26/kcpd-investigating-shooting-near-71-highway-e-63rd-street/
2288531,"April 26, 2022",Missouri,Saint Louis,4300 block of Penrose St,0,1,https://www.stltoday.com/news/local/crime-and-courts/police-investigating-after-man-shot-in-ofallon-neighborhood/article_75769c70-7cee-5e93-b34e-5dc540f50647.html
2288125,"April 26, 2022",Arizona,Tempe,1201 S McClintock Dr,0,1,https://www.fox10phoenix.com/news/tempe-apartment-shooting-man-badly-hurt
2288522,"April 26, 2022",Colorado,Evans,4350 37th St,1,0,https://kdvr.com/news/local/evans-police-shooting-37th-street/
2288512,"April 26, 2022",California,Denver,5900 block of N. Dunkirk St,0,3,https://twitter.com/DenverPolice/status/1519111073676230656
2288500,"April 26, 2022",Virginia,Suffolk,2210 E Washington St,0,1,https://www.wavy.com/news/local-news/suffolk/boy-injured-in-suffolk-shooting/
2288486,"April 26, 2022",Maine,Portland,100 block of Woodford St,1,1,https://www.wmtw.com/article/active-investigation-portland-street/39823917#
2288484,"April 26, 2022",Wisconsin,Janesville,1345 Plainfield Ave,1,0,https://www.wkow.com/news/update-one-person-killed-in-janesville-shooting-suspect-in-custody/article_5a9092be-c5ab-11ec-99f8-3b9e294a76d1.html
2288476,"April 26, 2022",Tennessee,Rockvale,6545 TN-99,0,0,https://www.wsmv.com/2022/04/26/officials-find-shotgun-high-school-parking-lot/
2288467,"April 26, 2022",Tennessee,Memphis,285 Gaston Ave,1,0,https://wreg.com/news/local/one-killed-in-south-memphis-shooting-2/
2288456,"April 26, 2022",New Jersey,Newark,Union St and Green St,0,1,https://www.rlsmedia.com/article/developing-man-found-shot-newarks-ironbound-section
2288430,"April 26, 2022",Texas,Atascosa,16800 Griffin Rd,0,1,https://news4sanantonio.com/news/local/deputies-track-down-suspect-who-allegedly-shot-another-man-in-southwest-bexar-county-sanantonio-texas-atascosa-ambulance-hospital-investigation-handgun-crime-violent
2288427,"April 26, 2022",Texas,San Antonio,9919 San Pedro Ave,0,1,https://news4sanantonio.com/news/local/man-shoots-carjacker-who-jumped-in-his-car-at-gas-station-san-antonio-texas-convenience-store-qt-gun-weapon-shooting
2288406,"April 26, 2022",New York,New York (Manhattan),W 144th St and Lenox Ave,0,1,https://twitter.com/NYC_Alerts911/status/1519095707776565248
2288404,"April 26, 2022",North Carolina,Winston Salem (Winston-salem),1100 block of E 15th St,0,1,https://myfox8.com/news/north-carolina/winston-salem/1-dead-1-hurt-after-2-separate-shootings-in-winston-salem-police-say/
2288400,"April 26, 2022",North Carolina,Greensboro,300 block of Avalon Rd,0,1,https://myfox8.com/news/north-carolina/greensboro/police-investigating-after-shooting-on-avalon-road-in-greensboro/
2288153,"April 26, 2022",Minnesota,Saint Paul,200 block of Bates Ave,1,0,https://minnesota.cbslocal.com/2022/04/26/man-fatally-shot-daytons-bluff-st-paul/
2288390,"April 26, 2022",Minnesota,Minneapolis,E 18th St and Nicollet Ave,0,1,https://twitter.com/CrimeWatchMpls/status/1519091828863254530
2288378,"April 26, 2022",South Carolina,Lancaster,325 Woodland Dr,0,0,https://www.heraldonline.com/news/local/crime/article260782442.html
2288369,"April 26, 2022",Pennsylvania,Pittsburgh (Wilkinsburg),500 block of Franklin Ave,0,1,https://www.cbsnews.com/pittsburgh/news/critical-condition-wilkinsburg-shooting/
2288364,"April 26, 2022",Illinois,Harrisburg,W Barnett St and S Land St,0,1,https://www.wsiltv.com/news/crime/one-person-injured-suspect-arrested-in-harrisburg-shooting/article_ea653488-c5a8-11ec-9be5-2f3aa557ea15.html
2288338,"April 26, 2022",Illinois,Rockford,3500 block of Green Dale Dr,1,0,https://twitter.com/RockfordPD/status/1518816568674856960
2288318,"April 26, 2022",Wisconsin,Milwaukee,N/A,0,2,https://atlasone.app/a/alerts/8c796035-2e4f-46e1-b936-0048f02b1e87
2288316,"April 26, 2022",South Carolina,Blythewood,10901 Wilson Blvd,0,0,https://www.wistv.com/2022/04/26/second-student-blythewood-high-school-found-with-gun/
2288300,"April 26, 2022",Washington,Everett,7720 Timber Hill Dr,0,1,https://www.king5.com/article/news/crime/man-in-critical-condition-after-shooting-at-everett-apartment-complex/281-854b96a3-c8c0-4c00-87c1-f8fb31c60609
2288298,"April 26, 2022",Illinois,Chicago,6400 block of S Justine St,0,1,https://home.chicagopolice.org/media_incident/6400-block-of-s-justine-on-april-26-2022-at-approx-306-p-m-7th-district/
2288273,"April 26, 2022",Michigan,Detroit,18240 Huntington Rd,0,0,https://www.facebook.com/TheDetroitScanner/posts/5476813912342619
2288255,"April 26, 2022",Michigan,Roseville,M-97 and Twelve Mile Rd,1,0,https://www.clickondetroit.com/news/local/2022/04/26/police-53-year-old-man-crashed-into-semi-truck-refused-to-drop-knife-before-being-shot-killed-by-officer/
2288235,"April 26, 2022",Georgia,Decatur,2587 Candler Rd,1,0,https://www.cbs46.com/2022/04/26/1-dead-following-shooting-candler-road-gas-station/
2288195,"April 26, 2022",California,Fresno,Mayor Ave,1,0,https://abc30.com/fatal-fresno-shooting-homicide-investigation-man-shot-and-killed-shots-fired/11792244/
2288193,"April 26, 2022",Michigan,Ishpeming,350 Aspen Ridge School Rd,1,0,https://www.mlive.com/news/2022/04/student-dies-after-shooting-himself-in-bathroom-of-upper-peninsula-school.html
2288158,"April 26, 2022",Michigan,Burton,1500 block of E McLean Ave,1,0,https://www.mlive.com/news/flint/2022/04/burton-police-arrest-man-in-connection-with-fatal-tuesday-morning-shooting.html
2288128,"April 26, 2022",Arizona,Glendale,59th Ave and Bethany Home Rd,0,1,https://www.fox10phoenix.com/news/police-looking-for-suspect-in-glendale-park-shooting
2288061,"April 26, 2022",Arkansas,Magnolia,Bennett Cir,0,2,http://www.magnoliareporter.com/news_and_business/local_news/article_7245a30e-c565-11ec-b270-5f7babb10247.html
2288008,"April 26, 2022",Maryland,Baltimore,500 block of N Highland Ave,1,0,https://www.baltimoresun.com/news/crime/bs-md-ci-cr-monday-april-26-homicide-20220426-kkdrszrsrbfepg2rw2xt4nyv3e-story.html
2288004,"April 26, 2022",Florida,Miami,SW 240th St and SW 187th Ave,0,1,https://www.local10.com/news/local/2022/04/26/group-beats-man-with-object-shoots-him-in-southwest-miami-dade/
2288002,"April 26, 2022",Texas,Rockdale,500 Childress Dr,0,0,https://www.tdtnews.com/news/central_texas_news/article_f8776e3e-c584-11ec-9050-cf2b6aad6d1a.html
2287995,"April 26, 2022",Maryland,Westover,US-13 and Perry Rd,1,0,https://www.wmdt.com/2022/04/one-dead-following-deputy-involved-shooting/
2287981,"April 26, 2022",District of Columbia,Washington,800 block of 19th St NE,0,1,https://twitter.com/AllisonPapson/status/1518992769703895041
2287951,"April 26, 2022",District of Columbia,Washington,4400 block of E St SE,0,1,https://www.wusa9.com/article/news/crime/four-shootings-in-three-hours-leave-one-dead-in-dc/65-b7137f05-31ec-4ef1-9a36-d2550cf7ef5b
2287949,"April 26, 2022",District of Columbia,Washington,3400 block of 22nd St SE,0,1,https://www.wusa9.com/article/news/crime/four-shootings-in-three-hours-leave-one-dead-in-dc/65-b7137f05-31ec-4ef1-9a36-d2550cf7ef5b
2288367,"April 26, 2022",New York,Bronx,East 143rd St and Willis Ave,0,1,https://nypost.com/2022/04/26/at-least-2-stabbed-1-shot-and-bullets-in-hells-kitchen-overnight-nypd/
2288525,"April 26, 2022",Colorado,Denver,5900 block of N Dunkirk St,3,0,https://twitter.com/DenverPolice/status/1519165308480770054
2288611,"April 26, 2022",Mississippi,Canton,373 S Canal St,1,0,https://www.wapt.com/article/canton-police-make-arrest-in-fatal-shooting-at-apartment-complex/39825162
2288604,"April 26, 2022",Mississippi,Jackson,Glen Erin St,1,0,https://www.wapt.com/article/body-found-inside-abandoned-house/39831022#
2287784,"April 25, 2022",Virginia,Norfolk,500 block of Tidewater Dr,0,1,https://www.wavy.com/news/local-news/norfolk/shooting-on-tidewater-drive-in-norfolk/
2287758,"April 25, 2022",Ohio,Toledo,400 block of Havre St,1,0,https://www.wtol.com/article/news/crime/south-toledo-shooting-havre-street/512-3638dc25-0b74-4b93-8c59-6b622aa3d59b
2287742,"April 25, 2022",Ohio,Toledo,2200 block of Lagrange St,1,0,https://www.wtol.com/article/news/crime/man-found-fatally-shot-in-the-head-at-north-toledo-rental-property/512-ab4a76b6-717f-4a7c-a9da-d7936f6beb3c
2286919,"April 25, 2022",Ohio,Columbus,1300 block of Vida Ct,1,1,https://www.columbus.gov/Templates/Detail.aspx?id=2147486739
2287704,"April 25, 2022",Louisiana,Metairie,Airline Dr and Turnbull Dr,0,1,https://www.nola.com/news/crime_police/article_32352e66-c4bf-11ec-b9eb-bb1a652cfaba.html
2287686,"April 25, 2022",Louisiana,New Orleans,7900 Chef Menteur Hwy,0,1,"https://nopdnews.com/getattachment/dd1b6e6d-9d5d-436a-b8b8-ab0f95a7bf08/April-24-through-April-25,-2022/"
2287643,"April 25, 2022",Alabama,Montgomery,200 block of Burgwyn Rd,0,2,https://www.alabamanews.net/2022/04/25/two-men-shot-in-montgomery/
