id,date,state,county,addr,death,injured,link
2256275,"March 18, 2022",New Jersey,Newark,S Munn Ave and S Orange Ave,0,1,https://www.rlsmedia.com/article/woman-shot-newarks-west-ward
2256221,"March 17, 2022",Virginia,Richmond,200 block of W Brookland Park Blvd,1,0,https://www.wtvr.com/news/local-news/west-brookland-park-shooting
2256230,"March 17, 2022",Illinois,Chicago,4400 block of S Western Ave,0,1,https://home.chicagopolice.org/media_incident/4400-block-of-s-western-on-march-17-2022-at-approx-820-p-m-9th-district/
2256228,"March 17, 2022",Illinois,Chicago,11500 block of S Halsted St,0,1,https://home.chicagopolice.org/media_incident/11500-block-of-s-halsted-on-march-17-2022-at-approx-313-p-m-5th-district/
2256223,"March 17, 2022",Illinois,Chicago,5000 block of S Kildare Ave,0,1,https://home.chicagopolice.org/media_incident/5000-block-of-s-kildare-on-march-17-2022-at-approx-532-p-m-8th-district/
2256207,"March 17, 2022",Maryland,Annapolis,1900 block of Copeland St,0,1,https://baltimore.cbslocal.com/2022/03/17/juvenile-shot-in-annapolis/
2256216,"March 17, 2022",Illinois,Chicago,100 block of N Leavitt St,0,1,https://home.chicagopolice.org/media_incident/100-block-of-n-levitt-on-march-17-2022-at-approx-450-p-m-12th-district/
2256211,"March 17, 2022",Illinois,Chicago,12300 block of S Yale Ave,0,2,https://home.chicagopolice.org/media_incident/12300-block-of-south-yale-on-17-mar-22-at-approx-426pm-005th-district/
2256202,"March 17, 2022",Tennessee,Knoxville,I-40 and James White Pkwy,1,1,https://www.wbir.com/article/news/crime/west-knox-county-chase/51-50566553-59bf-4dcf-ba5d-c6334a00d739
2256199,"March 17, 2022",District of Columbia,Washington,10 block of Chesapeake St SW,1,0,https://twitter.com/Killmoenews1/status/1504629579494866946
2256144,"March 17, 2022",Illinois,Chicago,900 block of N St Louis Ave,1,1,https://chicago.suntimes.com/crime/2022/3/17/22983774/man-killed-another-hurt-humboldt-park-shooting
2255873,"March 17, 2022",Ohio,Cincinnati,3245 Geier Dr,1,0,https://twitter.com/CincyPD/status/1504644315376758795
2256164,"March 17, 2022",Ohio,Columbus,800 block of Gilbert St,0,1,https://www.nbc4i.com/news/local-news/columbus/one-person-in-critical-condition-after-southeast-side-shooting/
2256162,"March 17, 2022",New York,Rochester,Moulson St,0,1,https://twitter.com/rochnycrimeinfo/status/1504622574474510336?s=21
2256137,"March 17, 2022",Wisconsin,Milwaukee,7100 block of W Mill Rd,0,1,https://atlasone.app/a/alerts/4f94f6d2-2968-4d67-8d82-b11c02346d24
2256134,"March 17, 2022",Minnesota,Minneapolis,2700 block of 17th Ave S,0,1,https://twitter.com/CrimeWatchMpls/status/1504553564277989380
2256099,"March 17, 2022",California,Caruthers,E Clarkson Ave and S Cedar Ave,0,3,https://abc30.com/fresno-county-shooting/11660254/
2256075,"March 17, 2022",Michigan,Saint Johns,6000 block of Old US-27,0,1,https://www.lansingstatejournal.com/story/news/local/2022/03/17/major-clinton-county-thoroughfare-closed-following-reported-shooting/7080214001/
2256069,"March 17, 2022",California,North Highlands,Auburn Blvd and Orange Grove Ave,0,1,https://www.kcra.com/article/1-injured-suspected-road-rage-shooting-auburn-blvd/39466200
2256061,"March 17, 2022",Tennessee,Nashville,3200 Clarksville PIke,1,0,https://fox17.com/news/local/deadly-shooting-by-clarksville-pike-shooter-claims-self-defense
2256054,"March 17, 2022",California,Huntington Beach,10000 block of Constitution Dr,0,1,https://ktla.com/news/local-news/1-injured-in-huntington-beach-shooting-lockdowns-lifted-at-nearby-schools/
