id,date,state,county,addr,death,injured,link
2247239,"March 5, 2022",South Carolina,Dillon,Church St,1,0,https://wpde.com/news/local/one-dead-in-dillon-county-shooting
2247234,"March 5, 2022",California,Spring Valley,CA-94,0,1,https://www.sandiegouniontribune.com/news/public-safety/story/2022-03-05/woman-shot-on-state-route-94
2247232,"March 5, 2022",Virginia,Richmond,1300 N Laburnum Ave,0,1,https://www.wric.com/news/crime/one-shot-in-henrico-wawa-parking-lot/
2247224,"March 5, 2022",Virginia,Fredericksburg,3102 Plank Rd,0,1,https://fredericksburg.com/news/local/crime-and-courts/man-shot-another-beaten-during-m-l-e-at-spotsylvania-towne-centre-police-say/article_47ea7886-44dd-52f0-9e69-f40768d00c51.html
2247221,"March 5, 2022",South Carolina,Columbia,1700 block of Van Heise St,1,0,https://www.wistv.com/2022/03/05/one-dead-columbia-shooting-police-investigating/
2247190,"March 5, 2022",Tennessee,Nashville,1516 Demonbreun St,0,1,https://www.newschannel5.com/news/apartment-resident-shot-after-overnight-shooting-on-demonbreun-street
2247186,"March 5, 2022",California,Los Angeles (Commerce),Telegraph Rd and Garfield Ave,1,0,https://losangeles.cbslocal.com/2022/03/05/woman-fatally-shot-in-commerce/
2247184,"March 5, 2022",California,Los Angeles,W Manchester Ave,1,0,https://losangeles.cbslocal.com/2022/03/05/man-fatally-shot-in-manchester-square-saturday/
2247180,"March 5, 2022",California,Fresno,200 block of E Hawes Ave,0,1,https://www.fresnobee.com/news/local/crime/article259093813.html
2247171,"March 5, 2022",California,Oakland,Howard St and High St,0,1,https://www.eastbaytimes.com/2022/03/05/oakland-woman-shot-at-homeless-camp/
2247167,"March 5, 2022",Maryland,Hyattsville (Chillum),2400 block of Chillum Rd,1,0,https://www.wusa9.com/article/news/local/maryland/police-respond-to-fatal-shooting-in-chillum-maryland/65-273599eb-9d49-4586-b733-8a94faa66ede
2247156,"March 5, 2022",Kentucky,Lexington,250 W Short St,1,1,https://www.wkyt.com/2022/03/05/police-investigate-parking-garage-shooting/
2247147,"March 5, 2022",Louisiana,Baton Rouge,1957 N Ardenwood Dr,1,0,https://www.theadvocate.com/baton_rouge/news/crime_police/article_d0a5e728-9cc1-11ec-af33-8b793cef023a.html
2247141,"March 5, 2022",Alabama,Birmingham,7500 block of 1st Ave S,0,2,https://www.wvtm13.com/article/police-investigate-double-shooting-in-birminghams-east-lake-area/39337158
2247122,"March 5, 2022",Connecticut,Hamden,2390 State St,1,0,https://www.wfsb.com/2022/03/05/22-year-old-dies-hamden-shooting/
2247120,"March 5, 2022",Pennsylvania,Progress,Ridgeview Rd and Valley Rd,0,1,https://www.pennlive.com/crime/2022/03/man-shot-early-saturday-near-dauphin-county-movie-theater.html
2247117,"March 5, 2022",Connecticut,Waterbury,215 Hill St,1,1,https://www.wtnh.com/news/connecticut/new-haven/waterbury-shooting-leaves-1-woman-dead-another-injured/
2247096,"March 5, 2022",Texas,Killeen,Dean Ave and Gray St,1,1,https://killeenpdnews.com/2022/03/05/killeen-police-investigate-an-early-morning-murder-on-gray-street/?fbclid=IwAR31ClJE50-TcYjir1b9M3tkZ71YqailMTOjo5Wqdy7p0HZIRe8qNew84mM
2247094,"March 5, 2022",Indiana,Indianapolis,200 block of Hendricks Place,0,1,https://cbs4indy.com/news/indycrime/person-shot-on-eastside-victim-in-critical-condition/
2247079,"March 5, 2022",Texas,Houston,700 block of Country Pl Dr,1,0,https://www.houstonchronicle.com/news/houston-texas/crime/article/Man-dead-after-west-Houston-shooting-police-say-16978864.php
2247065,"March 5, 2022",New York,Corona (Queens),Jackie Robinson Pkwy and Metropolitan Ave,0,1,https://www.amny.com/police-fire/road-rage-shooting-queens-leaves-man-injured/
2247067,"March 5, 2022",Oklahoma,Oklahoma City,2400 E Madison St,0,1,https://www.koco.com/article/oklahoma-city-woman-shot-northeast-overnight-officials-say/39334591
2247030,"March 5, 2022",Missouri,Saint Louis,2811 E Prairie Ave,0,2,https://fox2now.com/news/st-louis-bar-shooting-leaves-2-victims-with-critical-injuries/
2247025,"March 5, 2022",Georgia,Atlanta,I-75 and Langford Pkwy,0,4,https://www.atlantapd.org/Home/Components/News/News/2287/71
2247022,"March 5, 2022",Ohio,Columbus,300 block of South Terrace Ave,1,0,https://www.10tv.com/article/news/crime/police-person-found-shot-to-death-in-hilltop-alley/530-062ef769-c32e-4c34-90ba-6bcaae4bdcde
2246990,"March 5, 2022",Colorado,Denver,S Havana St and S Parker Rd,0,1,https://www.9news.com/article/news/crime/aurora-man-shot-parker-havana/73-9c21b64c-436e-4e3b-9378-a83bb8d1c838
2246978,"March 5, 2022",Ohio,Cincinnati,2967 Gilbert Ave,1,0,https://local12.com/news/local/police-investigating-fatal-shooting-at-walnut-hills-gas-station-cincinnati-local-12-wkrc-tristate-ohio-kentucky-indiana-gilbert-avenue-shell-martin-luther-king-drive
2246975,"March 5, 2022",New Jersey,Paterson,N/A,0,1,https://patersontimes.com/2022/03/05/paterson-man-wounded-in-early-saturday-morning-shooting/
2246959,"March 5, 2022",Texas,Bryan,Marino Rd and E State Hwy 21,1,0,https://www.kbtx.com/2022/03/05/bryan-police-investigating-shooting-highway-21/
2246946,"March 5, 2022",Illinois,Chicago,N/A,0,1,https://home.chicagopolice.org/media_incident/unknown-location-on-march-5-2022-approx-1201-a-m/
2246941,"March 5, 2022",Illinois,Chicago,8400 block of S Cregier Ave,0,1,https://home.chicagopolice.org/media_incident/8400-block-of-s-cregier-on-march-05-2022-approx-1215-a-m-4th-district/
2246936,"March 5, 2022",Florida,Jacksonville,5000 block of Soutel Dr,2,1,https://www.firstcoastnews.com/article/news/crime/2-dead-1-injured-soutel-drive-shooting-march-5/77-e9267443-97f0-45ad-aba7-073389faab0d
2246933,"March 5, 2022",Florida,Jacksonville,331 W Forsyth St,0,2,https://www.firstcoastnews.com/article/news/crime/2-injured-saturday-morning-shooting-whispers-oyster-bar-forsyth-street-downtown-jacksonville/77-707e483e-1274-4db3-8eaa-ca08b330d9ff
2246761,"March 4, 2022",Tennessee,Memphis,3507 Ashford Rd,0,1,https://www.actionnews5.com/2022/03/05/police-woman-shot-critical-condition/
2246763,"March 4, 2022",New Mexico,Albuquerque,420 Hannett Ave NE,0,2,https://www.krqe.com/news/albuquerque-metro/two-injured-in-second-albuquerque-shooting-friday/
2246789,"March 4, 2022",New York,Rochester,100 block of Shelter St,0,1,https://twitter.com/RPLCinfosharing/status/1499952324453748737
2246773,"March 4, 2022",New Mexico,Albuquerque,6th St SW and Gold Ave SW,1,0,https://www.kob.com/albuquerque-news/apd-downtown-shooting-under-investigation-/6410089/?cat=500
2246759,"March 4, 2022",Tennessee,Memphis,3200 block of New Horn Lake Rd,0,1,https://wreg.com/news/one-rushed-to-hospital-after-horn-lake-shooting/
2246745,"March 4, 2022",Minnesota,Minneapolis,E 25th St and 3rd Ave S,0,1,https://twitter.com/CrimeWatchMpls/status/1499875471764320256
2246730,"March 4, 2022",Michigan,Grand Rapids,Muskegon Ave NW and Leonard St NW,0,1,https://www.woodtv.com/news/grand-rapids/17-year-old-injured-in-shooting-on-gr-west-side/
2246732,"March 4, 2022",Washington,Yakima,1100 block of S 43rd Ave,0,1,https://www.yakimaherald.com/news/local/crime_and_courts/yakima-police-investigating-three-shootings-that-left-four-wounded/article_ccae3413-37ea-53f9-a0e3-259eed75f199.html
2246726,"March 4, 2022",Texas,Houston,900 block of Waverly St,0,1,https://twitter.com/houstonpolice/status/1499628619718660098
2246720,"March 4, 2022",Texas,Houston,3200 block of Alabama Ct,0,1,https://twitter.com/houstonpolice/status/1499629146691022849
2246715,"March 4, 2022",Texas,Houston,2500 block of S Loop W,0,1,https://twitter.com/houstonpolice/status/1499853548082843651
2246706,"March 4, 2022",Texas,Houston,12500 block of Bellaire Blvd,0,1,https://twitter.com/houstonpolice/status/1499853997062213632
2246691,"March 4, 2022",Tennessee,Madison,610 Gallatin Pike N,0,1,https://www.wsmv.com/2022/03/04/one-victim-transported-following-friday-shooting/
2246679,"March 4, 2022",Tennessee,Memphis,Frayser Blvd and Schoolfield Rd,0,1,https://www.actionnews5.com/2022/03/04/man-drives-amazon-following-shooting-police-say/
2246677,"March 4, 2022",Minnesota,Saint Paul,600 block of Blair Ave,1,0,https://www.kare11.com/article/news/crime/st-paul-police-investigate-deadly-shooting/89-18f4043d-18c1-4594-9509-d0baa8cba000
2246657,"March 4, 2022",Indiana,Indianapolis,3300 block of Shadeland Ave,0,1,https://fox59.com/news/1-critically-wounded-in-shooting-on-indys-east-side-2/
2246490,"March 4, 2022",North Carolina,Winston Salem (Winston-salem),Indiana Ave,1,0,https://en.almanara-news.com/winston-salem-police-identify-victim-in-indiana-avenue-homicide/
2246811,"March 4, 2022",Virginia,Petersburg,2214 County Dr,1,0,https://www.wtvr.com/news/local-news/stephen-harris-dead-california-inn-shooting-petersburg
2247084,"March 4, 2022",New York,West Babylon,5th Ave,0,1,https://www.nydailynews.com/new-york/nyc-crime/ny-off-duty-cop-shoots-man-forcing-way-into-li-home-20220305-jkbfpuip2rerpeyaqjwaodxu2y-story.html
2246787,"March 4, 2022",New York,New York (Manhattan),Dyckman St and Nagle Ave,0,1,https://www.cbsnews.com/newyork/news/nypd-innocent-bystander-wounded-in-washington-heights-shooting/
2247153,"March 4, 2022",Pennsylvania,Philadelphia,1200 block of N 58th St,2,0,https://6abc.com/philadelphia-double-shooting-police-investigation-two-men-killed-1200-block-n-58th-street/11623679/
2247162,"March 4, 2022",Pennsylvania,Philadelphia,2600 block of N 27th St,1,0,https://www.fox29.com/news/police-investigating-fatal-shooting-of-man-in-north-philadelphia
2246619,"March 4, 2022",Minnesota,Minneapolis,25th Ave N and 3rd St N,0,1,https://www.facebook.com/NMPLScrimewatch/posts/5199084440114370
2246813,"March 4, 2022",Maryland,Silver Spring (Wheaton),Georgia Ave and Reedie Dr,1,0,https://www.localdvm.com/news/maryland/suspect-of-wheaton-shooting-arrested/
2246533,"March 4, 2022",Texas,Fort Worth,Altamesa Blvd and Woodway Dr,0,1,https://www.star-telegram.com/article259064303.html
2246597,"March 4, 2022",California,Los Angeles,3100 block of E Washington Blvd,1,0,https://mynewsla.com/crime/2022/03/04/man-found-shot-to-death-in-boyle-heights-investigation-underway/
2246882,"March 4, 2022",Louisiana,New Orleans,8800 block of Bunker Hill Rd,1,1,https://wgno.com/news/crime/man-dies-woman-hospitalized-in-fatal-new-orleans-east-shooting/
2246595,"March 4, 2022",California,Boron,26500 block of Nudgent St,1,0,https://www.turnto23.com/news/local-news/kcso-armed-man-killed-in-police-shooting-in-boron
2246589,"March 4, 2022",Illinois,Moline,32nd Ave and 7th St,1,0,https://www.kwqc.com/2022/03/04/police-1-injured-shooting-near-hamilton-elementry-moline/
2247103,"March 4, 2022",Arkansas,Hazen,US Hwy 63,3,0,https://www.fox16.com/crime/asp-arkansas-couple-daughter-killed-daughters-husband-arrested/
2247126,"March 4, 2022",Pennsylvania,York,School Pl and S Sheridan St,0,2,https://www.pennlive.com/crime/2022/03/man-woman-shot-in-car-during-second-york-county-shooting-in-2-days.html
2246563,"March 4, 2022",Ohio,Elyria,100 block of Middle Ave,0,2,https://chroniclet.com/news/294242/man-shot-in-downtown-elyria-now-facing-weapons-violence-charges/
2246561,"March 4, 2022",Illinois,Edwardsville,2 Prairie Dr,0,0,https://www.theintelligencer.com/news/article/Man-charged-with-having-gun-in-SIUE-residence-hall-16976233.php
2247108,"March 4, 2022",Georgia,Columbus,4916 River Rd,0,1,https://www.wtvm.com/2022/03/05/arrest-made-shooting-incident-columbus-grocery-store/
2246553,"March 4, 2022",Ohio,Dayton,Salem Ave,0,1,https://www.wdtn.com/news/local-news/woman-shot-no-suspect-found/
2247072,"March 4, 2022",Georgia,Clarkston,935 N Indian Creek Dr,1,0,https://www.wsbtv.com/news/local/dekalb-county/man-arrested-after-shooting-convenience-store-clerk-clarkston-police-say/XVFLIGRHLZAJDJBAPX4KJABXFM/
2246499,"March 4, 2022",Pennsylvania,Philadelphia,6200 block of Chestnut St,1,0,https://philadelphia.cbslocal.com/2022/03/04/west-philadelphia-shooting-man-killed-gun-violence-2/
2246496,"March 4, 2022",North Carolina,Charlotte,3935 Statesville Ave,0,1,https://www.wsoctv.com/news/local/1-expected-be-ok-after-shooting-cabaret-north-charlotte/6VKOLDDWS5HTTGK3C3N6J4HHTM/
2246488,"March 4, 2022",North Carolina,Greensboro,800 block of Summit Ave,0,1,https://www.wfmynews2.com/article/news/crime/summit-avenue-shooting-greensboro/83-f04d9cac-9abc-44cb-aaeb-b85906843494
2247041,"March 4, 2022",Florida,Zephyrhills,39602 Amethyst Way,1,0,https://www.wtsp.com/article/news/local/1-dead-zephyrhills-rv-park/67-643c1f4e-ddd0-455e-b9fa-a33160689c36
2247039,"March 4, 2022",Ohio,Dayton,700 block of Whitmore Ave,0,1,https://www.daytondailynews.com/crime/man-in-hospital-after-shooting-in-dayton/LOPZQU5DUBGB7KMEE3BAC3QAGY/
2247012,"March 4, 2022",Missouri,Saint Louis,1500 block of Arlington Ave,0,1,https://www.kmov.com/2022/03/05/17-year-old-shot-thigh-hamilton-heights-neighborhood/
2246488,"March 4, 2022",North Carolina,Greensboro,800 block of Summit Ave,0,1,https://www.wfmynews2.com/article/news/crime/summit-avenue-shooting-greensboro/83-f04d9cac-9abc-44cb-aaeb-b85906843494
2247041,"March 4, 2022",Florida,Zephyrhills,39602 Amethyst Way,1,0,https://www.wtsp.com/article/news/local/1-dead-zephyrhills-rv-park/67-643c1f4e-ddd0-455e-b9fa-a33160689c36
2247039,"March 4, 2022",Ohio,Dayton,700 block of Whitmore Ave,0,1,https://www.daytondailynews.com/crime/man-in-hospital-after-shooting-in-dayton/LOPZQU5DUBGB7KMEE3BAC3QAGY/
2247012,"March 4, 2022",Missouri,Saint Louis,1500 block of Arlington Ave,0,1,https://www.kmov.com/2022/03/05/17-year-old-shot-thigh-hamilton-heights-neighborhood/
2247001,"March 4, 2022",Ohio,Cleveland (East Cleveland),1300 block of E 142nd St,1,0,https://fox8.com/news/east-cleveland-police-asking-for-help-to-identify-man-found-dead-with-two-gunshot-wounds-to-the-head/
2246997,"March 4, 2022",Colorado,Aurora,2200 block of N Galena St,0,1,https://twitter.com/AuroraPD/status/1499964998663217156
2246994,"March 4, 2022",New Mexico,Las Cruces,700 block of Shannon St,0,2,https://www.lcsun-news.com/story/news/local/2022/03/04/las-cruces-police-respond-shooting-block-off-university-and-espina/9384070002/
2246983,"March 4, 2022",Colorado,Denver,10100 block of E Virginia Ave,1,0,https://www.9news.com/article/news/local/denver-deadly-shooting/73-8de5ac1c-a25c-4240-8645-919e8e6e260e
2246985,"March 4, 2022",Kentucky,Warsaw,Ambrose Rd,0,1,https://www.fox19.com/2022/03/05/kentucky-state-police-investigating-outside-nky-home/
