id,date,state,county,addr,death,injured,link
2257160,"March 18, 2022",Minnesota,Minneapolis,3601 Penn Ave N,0,1,https://twitter.com/MN_CRIME/status/1504985071207522307
2257164,"March 18, 2022",Minnesota,Minneapolis,701 W Broadway Ave,0,1,https://twitter.com/CrimeWatchMpls/status/1504944269576052752
2257162,"March 18, 2022",Maryland,Baltimore,3100 block of Frederick Ave,0,1,https://www.baltimoresun.com/news/crime/bs-md-ci-cr-shooting-otterbein-20220318-qcazfsknbbcq3eqdxxpdhivar4-story.html
2257158,"March 18, 2022",New York,Binghamton,Elm St,0,1,https://wnbf.com/reports-of-shots-fired-near-spring-forest-cemetery/
2256992,"March 18, 2022",Minnesota,Minneapolis,1900 block of Colfax Ave S,1,0,https://www.facebook.com/groups/MinneapolisScanner/posts/2044760382372010/
2257155,"March 18, 2022",Maryland,Temple Hills (Hillcrest Heights),3900 block Stone Gate Dr,0,1,https://twitter.com/alanhenney/status/1504714044833423382
2257153,"March 18, 2022",Maryland,Bladensburg,4200 block of 58th Ave,0,1,https://twitter.com/MoCoPGNews/status/1505019904101134337
2257141,"March 18, 2022",Ohio,Cleveland,E 93rd St and Hough Ave,0,1,https://www.cleveland19.com/2022/03/18/teen-shot-face-clevelands-hough-neighborhood-police-say/
2257137,"March 18, 2022",Maryland,District Heights,3400 block of Walters Ln,1,0,https://twitter.com/AnthonyTilghman/status/1505012843690835968
2256984,"March 18, 2022",New York,New York (Manhattan),155 E 50th St,0,1,https://www.nydailynews.com/new-york/nyc-crime/ny-hong-kong-tourist-shot-leg-midtown-nypd-20220318-q4gdeqzanrg5bf4tcweqd2vrje-story.html
2256967,"March 18, 2022",New York,Bronx,Holland Ave and E 213 St,1,0,https://www.nydailynews.com/new-york/nyc-crime/ny-bronx-shooting-murder-nypd-20220318-bmyxzytypvbmdhum7e3vzjtnca-story.html
2257123,"March 18, 2022",Virginia,Richmond,Walmsley Blvd,1,0,https://www.nbc12.com/2022/03/18/police-investigate-after-man-found-dead-parking-lot/
2257118,"March 18, 2022",Virginia,Richmond,Claiborne St and S Allen Ave,0,1,https://www.nbc12.com/2022/03/19/man-fighting-life-following-friday-evening-shooting/
2257111,"March 18, 2022",West Virginia,Uneeda,N/A,1,0,https://www.wdtv.com/2022/03/18/wvsp-investigating-murder-suspect-located/
