id,date,state,county,addr,death,injured,link
2280631,"April 16, 2022",Alabama,Bessemer (Brighton),4300 block of West St,0,1,https://www.wvtm13.com/article/brighton-alabama-shooting-jefferson-county-sheriffs-office/39740672
2280622,"April 16, 2022",California,Los Angeles,6224 Crenshaw Blvd,2,0,https://twitter.com/DowntownLAScan/status/1515407767422439427
2280613,"April 16, 2022",New Mexico,Roswell,1101 W 4th St,2,0,https://www.koat.com/article/two-people-killed-saturday-afternoon-in-roswell/39743111
2280473,"April 16, 2022",California,Los Angeles,1200 block of E 119th St,2,0,https://mynewsla.com/crime/2022/04/16/woman-killed-in-murder-suicide-in-willowbrook/https://mynewsla.com/crime/2022/04/16/woman-killed-in-murder-suicide-in-willowbrook/
2280017,"April 16, 2022",New York,Syracuse,300 block of S Clinton St,1,4,https://www.localsyr.com/news/local-news/5-shot-1-dead-in-shooting-in-armory-square-neighborhood/
2280423,"April 16, 2022",Virginia,Blacksburg,300 block of Hunt Club Rd,0,1,https://www.wfxrtv.com/news/local-news/new-river-valley-local-news/police-investigate-early-saturday-shooting-in-blacksburg/
2280533,"April 16, 2022",California,San Jose,13000 block of Pfeifle Ave,0,1,https://www.nbcbayarea.com/news/local/man-injured-in-san-jose-shooting-police-2/2865576/
2280516,"April 16, 2022",California,San Diego,6625 Alvarado Rd,0,3,https://www.nbcsandiego.com/news/local/three-wounded-in-san-diegos-college-east-community/2922145/
2280407,"April 16, 2022",Missouri,Kansas City,8600 block of Newton Ave,1,0,https://www.kctv5.com/2022/04/16/police-investigating-overnight-homicide-kansas-city/
2280523,"April 16, 2022",Alabama,Huntsville,4400 block of Myrtlewood Dr,0,1,https://whnt.com/news/huntsville/police-shooting-victim-suffers-life-threatening-injuries/
2280520,"April 16, 2022",Missouri,Saint Louis (Jennings),6300 block of Lillian Ave,1,1,https://www.ksdk.com/article/news/crime/1-person-killed-1-injured-in-shooting-outside-jennings-church-bethel-nondenominational-church/63-80926e19-d267-4035-9671-1c038a136d75
2280513,"April 16, 2022",Louisiana,New Orleans,2200 block of Toledano St,0,1,https://www.wwltv.com/article/news/crime/nopd-investigates-central-city-shooting-saturday-1-man-wounded/289-c12de72b-864a-4b1b-9fcb-985e221440b4
2280490,"April 16, 2022",Mississippi,Vicksburg,4137 I-20 Frontage Rd,0,1,https://www.wjtv.com/news/local-news/man-shot-at-motel-6-in-vicksburg/
2280477,"April 16, 2022",California,Palmdale,38500 block of Frontier Ave,1,2,https://www.cbsnews.com/losangeles/news/one-dead-two-wounded-in-palmdale-shooting/
2280475,"April 16, 2022",Tennessee,Johnson City,1109 University Pkwy,0,1,https://www.wjhl.com/news/crime/jcpd-investigating-shooting-in-apartment-complex/
2280471,"April 16, 2022",California,Inglewood,Edgewood St,1,0,https://www.cbsnews.com/losangeles/news/homicide-investigation-launched-after-34-year-old-man-fatally-shot-in-inglewood/
2280468,"April 16, 2022",California,West Hollywood,8200 block of Sunset Blvd,0,1,https://abc7.com/west-hollywood-shooting-sunset-strip-investigation/11756973/
2280466,"April 16, 2022",Virginia,Portsmouth,4500 block of George Washington Hwy,0,1,https://www.13newsnow.com/article/news/local/mycity/portsmouth/shooting-george-washington-highway-portsmouth/291-4a477bb2-2d7e-443c-85e7-acbf01ee13dd
2280461,"April 16, 2022",Virginia,Newport News,West Ave and 28th St,0,1,https://www.wavy.com/news/local-news/newport-news/16-year-old-shot-saturday-afternoon-in-newport-news/
2280454,"April 16, 2022",Virginia,Portsmouth,2400 block of Airline Blvd,0,3,https://www.13newsnow.com/article/news/crime/three-people-injured-shooting-airline-blvd-portsmouth/291-caa3a258-999b-475f-a9c2-8149e4494269
2280450,"April 16, 2022",California,Oakland,900 block of 77th Ave,2,0,https://www.eastbaytimes.com/2022/04/16/two-men-killed-in-east-oakland-double-homicide/
2280448,"April 16, 2022",California,Vallejo,100 block of Maher Ct,1,0,https://www.eastbaytimes.com/2022/04/16/oakland-man-fatally-shot-saturday-in-vallejo-police-say/
2280445,"April 16, 2022",Virginia,Danville,600 block of Edmonds St,1,0,https://www.wfxrtv.com/news/crime/danville-police-investigate-deadly-shooting-at-cardinal-village-apartments/
2280440,"April 16, 2022",North Carolina,Rocky Mount,1200 block of N Wesleyan Blvd,0,1,https://www.cbs17.com/news/local-news/1-injured-in-rocky-mount-shooting/
2280425,"April 16, 2022",North Carolina,Durham,4200 block of Garrett Rd,0,1,https://www.cbs17.com/news/local-news/durham-county-news/1-injured-in-overnight-durham-shooting/
2280414,"April 16, 2022",New York,Buffalo,Grant St and Ferguson Ave,0,1,https://twitter.com/TonawandaFire/status/1515392366278242304
2280412,"April 16, 2022",North Carolina,Havelock,400 US-70 W,0,1,https://www.witn.com/2022/04/16/shots-fired-early-saturday-morning-man-grazed-by-bullets/
2280410,"April 16, 2022",New York,Bronx,1690 Vyse Ave,0,1,https://twitter.com/NYC_Alerts911/status/1515459022845059081
2280303,"April 16, 2022",Pennsylvania,Philadelphia,800 East Allegheny Ave,0,1,https://www.fox29.com/news/police-at-least-10-people-shot-in-separate-shootings-across-philadelphia-during-violent-weekend?fbclid=IwAR16-a594KTUsvOKAFEutgbOIBDh-uduns6UR4zYWJ4pxboQ8sCYfGgST48
2280384,"April 16, 2022",Pennsylvania,Philadelphia,5600 Newton Ave,1,0,https://philadelphia.cbslocal.com/2022/04/16/philadelphia-shootings-gun-violence-kensington-kingsessing-crescentville-east-falls/
2280375,"April 16, 2022",Pennsylvania,Philadelphia,3100 block of Berkeley Dr,1,1,https://philadelphia.cbslocal.com/2022/04/16/philadelphia-shootings-gun-violence-kensington-kingsessing-crescentville-east-falls/
2280357,"April 16, 2022",Kansas,Wichita,3800 block of E Roseberry St,1,1,https://www.ksn.com/news/local/one-dead-one-injured-in-shooting-in-south-wichita/
2280204,"April 16, 2022",South Carolina,Columbia,100 Columbiana Cir,0,10,https://abcnews4.com/news/local/columbia-police-department-respond-to-columbiana-centre-mall
2280315,"April 16, 2022",Pennsylvania,Philadelphia,1300 block of S 57th St,0,1,https://www.fox29.com/news/police-at-least-10-people-shot-in-separate-shootings-across-philadelphia-during-violent-weekend?fbclid=IwAR16-a594KTUsvOKAFEutgbOIBDh-uduns6UR4zYWJ4pxboQ8sCYfGgST48
2280306,"April 16, 2022",Illinois,Chicago,5400 block of W Madison St,0,1,https://home.chicagopolice.org/media_incident/5400-block-of-west-madison-on-16-april-2022-at-approx-215pm-015th-district/
2280258,"April 16, 2022",Ohio,Dayton (Trotwood),4800 block of Biddison Ave,0,1,https://www.wdtn.com/news/local-news/man-shows-up-at-hospital-after-trotwood-shooting/?ipid=promo_link2
2280238,"April 16, 2022",Ohio,Dayton (Kettering),3200 Woodman Dr,0,2,https://www.wdtn.com/news/local-news/two-teens-shot-outside-kettering-bowling-alley/?ipid=promo_link1
2280253,"April 16, 2022",Ohio,Dayton,400 block of Ryburn Ave,0,1,https://www.wdtn.com/news/local-news/at-least-1-injured-in-dayton-shooting/
2280246,"April 16, 2022",Illinois,Chicago,300 block W 110st St,0,1,https://home.chicagopolice.org/media_incident/300-block-w-110st-on-april-16-2022-at-approx-150pm-5th-district/
2280236,"April 16, 2022",New York,Rochester,109 Cady St,0,1,https://twitter.com/JeffK72/status/1515407276710023173
2280232,"April 16, 2022",Ohio,Columbus,1400 block of Gibbard Ave,0,1,https://www.nbc4i.com/news/local-news/columbus/man-expected-to-survive-after-being-shot-8-times-in-east-columbus/
2280221,"April 16, 2022",Georgia,Lagrange,Cedar St and Hamilton Rd,0,1,https://www.wtvm.com/2022/04/16/woman-reportedly-shot-robbed-while-walking-lagrange/
2280218,"April 16, 2022",Illinois,Chicago,7800 block of S Kingston Ave,0,1,https://abc7chicago.com/girl-shot-teen-chicago-teenage/11756135/
2280165,"April 16, 2022",Ohio,Columbus,I-71 and E N Broadway,0,1,https://abc6onyourside.com/news/local/columbus-police-passenger-jordan-slocum-shoots-driver-i-71-north-broadway-during-argument-4-16-2022
2280214,"April 16, 2022",Ohio,Columbus,Cleveland Ave and E Spring St,1,0,https://abc6onyourside.com/news/local/1-dead-after-shooting-near-columbus-states-campus-4-16-2022
2280198,"April 16, 2022",New York,Brooklyn,32 O’Brien Pl,0,1,https://twitter.com/NYC_Alerts911/status/1515369715471953922
2280196,"April 16, 2022",District of Columbia,Washington,1100 block of Raum St NE,1,0,https://twitter.com/alanhenney/status/1515398125653049352
2280193,"April 16, 2022",District of Columbia,Washington,1200 block of Southern Ave SE,1,0,https://twitter.com/alanhenney/status/1515398850667819009
2280187,"April 16, 2022",Georgia,Athens,Cone Dr,1,0,https://www.ajc.com/news/crime/athens-police-investigate-teen-fatally-shot-saturday-morning/FX7SWX4CQZFLTONVZQ2TDIWWRI/
2280185,"April 16, 2022",Georgia,Atlanta,2261 Cascade Rd,1,0,https://www.ajc.com/news/crime/police-knife-wielding-man-shot-killed-by-officers-at-sw-atlanta-gas-station/XV7SAUKFBJHDHDENEP64TLBPBI/
2280163,"April 16, 2022",Ohio,Canton,3100 block of Gilbert Cir NE,0,1,https://www.cantonrep.com/story/news/crime/2022/04/16/canton-police-find-man-shot-northeast-side-seek-information/7342377001/
2280152,"April 16, 2022",Florida,Saint Petersburg,1500 Dr Martin Luther King Jr St S,0,1,https://www.wfla.com/news/pinellas-county/man-shot-near-st-petersburg-grocery-store/
2280150,"April 16, 2022",Delaware,Dover,107 W Loockerman St,0,1,https://www.wdel.com/news/shooting-outside-dover-bar-hospitalizes-man/article_b2331c1c-bd9f-11ec-890e-8be4182b0f03.html
2280049,"April 16, 2022",Maryland,Baltimore,100 block of W Hamburg St,0,1,https://foxbaltimore.com/news/local/man-expected-to-survive-after-shooting-police-said
2280129,"April 16, 2022",Pennsylvania,Pittsburgh,2000 block of Centre Ave,0,1,https://pittsburghpa.gov/publicsafety/blotterview/1734
2280117,"April 16, 2022",Pennsylvania,Pittsburgh,3100 block of McClure Ave,1,0,https://pittsburgh.cbslocal.com/2022/04/16/mcclure-ave-shooting/
2280114,"April 16, 2022",Texas,Corpus Christi,5200 block of Weber Rd,1,0,https://www.kiiitv.com/article/news/crime/shooting-on-weber-one-dead/503-2ab944b8-24f2-43b8-b0b5-6c8431f0950e
2280068,"April 16, 2022",Florida,Delray Beach,10317 W Atlantic Ave,1,0,https://www.wptv.com/news/region-s-palm-beach-county/man-found-shot-to-death-palm-beach-downs
2280059,"April 16, 2022",District of Columbia,Washington,50 block of Chesapeake St SE,0,1,https://twitter.com/alanhenney/status/1515207169968418818
